Киевский; «СЕЗ Киевского района   г. Донецка»;пр-т  Киевский, 79;Крятова Е.В.;73;ключ в квартире №36;37.777329 48.061037;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Миронова, 15;Фирсов М.Ю.;97;ключ в квартире №21;37.777706 48.045998;
Киевский; «СЕЗ Киевского района   г. Донецка»;пр-т  Киевский, 49;Фирсов М.Ю.;232;ключ в квартире №4;37.778955 48.049968;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Р.Люксембург, 52;Шарапова З.Д.;26;свободный доступ;37.785692 48.023531;
Киевский;ГУ «Донецкий государственный научно-исследов. проектно-конструкторский и эксперимент. институт комплексной механизации шахт» «ДОНУГЛЕМАШ»»;ул. Университетская, 83 а;Пинькова Е.В. (071) 326-40-56;250;ключ у дежурного;37.794576 48.024694;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Артема, 118;Шарапова З.Д.;20;ключ в квартире №38, №41;37.791118 48.028901;
Киевский;МОУ «Школа № 48  г. Донецка»;ул.Щорса, 96 а;Заболотная Т. А. 311-43-71, 071-437-59-71;100;ключ у дежурного;37.786752 48.025231;
Киевский;"ЖЭК-1 ООО ДПЦ ""Магистр""";пр-т  Киевский, 3 а;Филиндаш С.Н.;104;ключ в квартире №15, №113;37.782072 48.040197;
Киевский; «СЕЗ Киевского района   г. Донецка»;пр-т  Киевский, 2а;Жураковская Е.Г.;200;ключ в квартире №3;37.778748 48.038197;
Киевский;ГОУ ВПО «Донецкий национальный университет экономики и торговли им. Туган-Барановского»;ул. Университетская, 98;Ридош О.Г. (062) 342-90-40;100;ключ у дежурного;37.788594 48.027322;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Артема, 112 а;Шарапова З.Д.;150;ключ в квартире №10;37.794828 48.024351;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Куйбышева, 260;Масницкий А.Т.;300;ключ в квартире №28;37.749041 48.039366;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Листопрокатчиков, 6;Крятова Е.В.;85;свободный доступ;37.788683 48.063783;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Буслаева, 21;Крятова Е.В.;130;ключ в квартире №16;37.776628 48.061531;
Киевский;ГПОУ «Донецкий центр проф.-тех. образования строительства и архитектуры»;ул. Университетская, 82;Люцкевич Л.В. (071) 305-99-94;120;ключ у дежурного;37.792932 48.023447;
Киевский;"ООО ""АРК-96""";ул. Батищева, 15;Фирсова Н.Л.;80;ключ в квартире №4;37.775487 48.03645;
Киевский; «СЕЗ Киевского района   г. Донецка»;пр-т  Партизанский, 52;Фирсов М.Ю.;240;ключ в квартире №12;37.790139 48.057364;
Киевский;"ЖЭК-1 ООО ДПЦ ""Магистр""";пр-т  Киевский, 5 б;Филиндаш С.Н.;44;ключ в квартире №70;37.781524 48.041824;
Киевский;ГБНОУ «Республиканский многопрофильный лицей-интернат «Григорьевская школа»;ул. Челюскинцев, 189;Черкасова Л.В. (071) 339-51-91;130;ключ у дежурного;37.807009 48.0237;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Океанская, 2;Жураковская Е.Г.;32;ключ в квартире №6;37.773852 48.061224;
Киевский;"ЖЭК-1 ООО ДПЦ ""Магистр""";пр-т  Киевский, 3 б;Филиндаш С.Н.;104;ключ в квартире №114;37.781883 48.040715;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Благовещен-;Крятова Е.В.;215;ключ в квартире №9;37.588539 47.819904;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Листопрокатчиков, 4;Крятова Е.В.;80;ключ в квартире №1;37.787623 48.063669;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Университет-;Шарапова З.Д.;20;ключ в квартире №7;37.588539 47.819904;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Кутузова, 29;Шарапова Зинаида Дмитриевна м.т. 071 303 41 13, т. 314-53-61;101;ключ в квартире №8;37.811582 48.036257;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Артема, 122;Шарапова З.Д.;36;ключ в квартире №2;37.789564 48.030124;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Щорса, 71;Шарапова З.Д.;66;ключ в квартире №1;37.790992 48.022995;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Кутузова, 19;Ткаченко И.И.;26;ключ в квартире №30;37.808392 48.0363;
Киевский;ГОУ ВПО «Донецкий институт железнодорожного транспорта»;ул. Артёма, 184;Дрыгин Н.Ф. (071) 311 55 87;150;ключ у дежурного;37.760288 48.036649;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Артема, 198 б;Масницкий А.Т.;100;ключ в квартире №56;37.752418 48.037932;
Киевский;"ООО ""АРК-96""";ул. Артема, 193 в;Фирсова Н.Л.;60;ключ в квартире №7;37.766827 48.038739;
Киевский;ГПОУ «Донецкий колледж технологий и дизайна ГОУ ВПО ДонНУЭТ»;пр-т Партизанский, 35 а;Погребенко Л.И. (062) 306-37-79;216;ключ у дежурного;37.789483 48.058333;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Трудовой Аллеи, 12;Фирсов М.Ю.;169;ключ в квартире №3, №11, №12;37.780329 48.046173;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Кутузова, 9;Ткаченко И.И.;15;ключ в квартире №41, №42;37.809363 48.034757;
Киевский;ГПОУ «Донецкий колледж пищевых технологий и торговли»;ул. Университетская, 110;Голощапова В.Ю. (071) 439-67-37;310;ключ у дежурного;37.784794 48.030335;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Куйбышева, 246 а;Масницкий А.Т.;386;ключ в квартире №1, №37;37.749131 48.037143;
Киевский;ГПОУ «Донецкий техникум ресторанного сервиса и торговли»;ул. Аристова, 7;Кузнецова И.А. (071) 431-35-06;190;ключ у дежурного;37.778901 48.056828;
Киевский; «СЕЗ Киевского района   г. Донецка»;пр-т  Освобождения Донбасса, 10;Шарапова З.Д.;101;ключ в квартире №22;37.798502 48.025279;
Киевский;ЦГКБ№20;ул.Артема,185;Гребенюк В.Я. 305-64-89;50;ключ у зав. хозяйством;37.76848 48.038306;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Кутузова, 23;участок №7 по ул. Звягильского, 59 Ткаченко Ирина Ивановна м.т. 071 303 61 42 т. 257-38-82;80;ключ в квартире №45;37.810513 48.036191;
Киевский; «СЕЗ Киевского района   г. Донецка»;пр-т  Киевский, 69;Крятова Е.В.;110;ключ в квартире;37.777508 48.05805;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Артема, 159;Шарапова З.Д.;40;ключ в квартире №5;37.793319 48.028876;
Киевский; «СЕЗ Киевского района   г. Донецка»;пер. Россини, 3;Шарапова З.Д.;57;свободный доступ;37.784946 48.032263;
Киевский;ГУ «Республиканский академический НИ и ПКИ горной геологии, геомеханики, геофизики и маркшейдерского дела (РАНИМИ)»;ул. Челюскинцев, 291;Гордиенко В.А. (071) 413-35-14;90;ключ у дежурного;37.785369 48.037354;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Полиграфическая, 18;участок №4;80;свободный доступ;37.775182 48.050769;
Киевский;Донецкая специальная общеобразовательная школа-интернат №19;пр-т Партизанский,14 а;Манлий Н.Н. (071) 346-10-96;140;ключ у дежурного;37.798295 48.057147;
Киевский;КУДО «Школа духовой музыки»;ул.Еременко, 11а;Кирилкина Е.А. 071-452-17-43 ;50;ключ у дежурного;37.772145 48.060339;
Киевский; «СЕЗ Киевского района   г. Донецка»;пр-т  Освобождения Донбасса, 9;Шарапова З.Д.;156;ключ в квартире №20;37.794334 48.02147;
Киевский;МОУ «Школа № 53 г. Донецка»;ул. Павла Поповича, 10;Артёмова О.А. 258-24-80, 071-338-89-44;130;ключ у дежурного;37.793759 48.044125;
Киевский;далее «СЕЗ Киевского района   г. Донецка»;ул. Куйбышева, 244;Масницкий А.Т.;733;ключ в квартире №26, №78;37.747882 48.036324;
Киевский; «СЕЗ Киевского района   г. Донецка»;пр-т  Киевский, 77;Крятова Е.В.;62;ключ в квартире №10;37.776871 48.060742;
Киевский; «СЕЗ Киевского района   г. Донецка»;пр-т  Киевский, 66 Жилой дом находится на консервации, частично разрушен, покинут жильцами, нет доступа в укрытие.;Жураковская Е.Г.;30;ключ в квартире №5;37.588539 47.819904;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Университетская, 75;Шарапова З.Д.;60;ключ в квартире №71, №78;37.795565 48.022519;
Киевский; «СЕЗ Киевского района   г. Донецка»;пр-т  Киевский, 45;Фирсов М.Ю.;140;ключ в квартире №3;37.779655 48.04951;
Киевский; «СЕЗ Киевского района   г. Донецка»;пр-т  Титова, 7;Шарапова З.Д.;20;ключ в квартире №71;37.798978 48.020151;
Киевский; «СЕЗ Киевского района   г. Донецка»;пр-т  Киевский, 10;Жураковская Е.Г.;60;ключ в квартире №1;37.779027 48.040462;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Щорса, 63;Шарапова З.Д.;40;ключ в квартире №19, №18;37.79357 48.021085;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Лавренева, 31;участок №8  ул. Маршака, 68 Фирсов Михаил Юрьевич м.т. 071 303 61 42 т. 258 03 39 т. 258 43 08;211;ключ в квартире №2;37.795798 48.044143;
Киевский;"ЖЭК-1 ООО ДПЦ ""Магистр""";ул. Павла Поповича, 33 а;Филиндаш С.Н.;72;ключ в квартире №106, №306;37.791019 48.043258;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Буслаева, 27;Крятова Е.В.;115;свободный доступ;37.778497 48.06191;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Артема, 210;Масницкий А.Т.;266;ключ в квартире №74, №76;37.754736 48.037523;
Киевский; «СЕЗ Киевского района   г. Донецка»;пр-т  Киевский, 19;Фирсов М.Ю.;245;ключ в квартире №13;37.779655 48.046035;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Артема, 108;Шарапова З.Д.;50;ключ в квартире №38, №39;37.797747 48.023543;
Киевский; «СЕЗ Киевского района   г. Донецка»;пр-т  Киевский, 26;Фирсов М.Ю.;173;ключ в квартире №10, №12;37.778775 48.044661;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Буслаева, 18;Крятова Е.В.;255;ключ в квартире №17, №22;37.7759 48.062055;
Киевский;"ЖЭК-1 ООО ДПЦ ""Магистр""";ул. Павла Поповича, 37;Филиндаш С.Н.;46;ключ в квартире №1, №5;37.788674 48.043083;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Курако, 4;Ткаченко И.И.;26;ключ в квартире №1, №5;37.802518 48.04139;
Киевский;ГУ «Донецкий научно-исследовательский угольный институт (ДонУГИ)»;ул. Артёма, 114;Гатауллин Д.Н. (071) 373-48-22;25;ключ у дежурного;37.794307 48.026376;
Киевский; «СЕЗ Киевского района   г. Донецка»;пр-т  Киевский, 73;Крятова Е.В.;115;ключ в квартире №29, №32;37.77767 48.058749;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Буслаева, 24;участок №5 по пр. Киевский, 55 г Крятова Елена Васильевна м.т. 071 303 42 16 т. 258-82-09;107;ключ в квартире №1;37.775676 48.063055;
Киевский; «СЕЗ Киевского района   г. Донецка»;ул. Листопрокатчиков, 10;Крятова Е.В.;110;ключ в квартире №2;37.788091 48.062422;
Киевский; «СЕЗ Киевского района   г. Донецка»;пр-т  Партизанский, 54;Фирсов М.Ю.;106;ключ в квартире №8;37.789411 48.057496;
