Никитовский район;  ; ул. Болотникова, 11; ; ; ;37.970592 48.339168;
Никитовский район;  ; ул. Черняховского, 23; ; ; ;37.997524 48.363598;
Никитовский район;  ; ул. Ртутная, 9; ; ; ;38.030743 48.350462;
Никитовский район;  ; ул. Шашурина, 21; ; ; ;37.96787 48.351091;
Никитовский район;  ; ул. Артиллеристов, 56; ; ; ;37.946464 48.336533;
Никитовский район;  ; ул. Загородняя, 2; ; ; ;38.095898 48.399179;
Никитовский район;  ; ул. Игнатченко, 4; ; ; ;37.995269 48.356749;
Никитовский район;  ; ул. Мушкетовская, 11; ; ; ;38.093518 48.403677;
Никитовский район;  ; ул. Школьная, 9; ; ; ;37.915705 48.401195;
Никитовский район;  ; ул. Болотникова, 29; ; ; ;37.969999 48.338096;
Никитовский район;  ; ул. 60 лет СССР, 37; ; ; ;37.978417 48.338695;
Никитовский район;  ; ул. Комарова, 34; ; ; ;37.970062 48.350552;
Никитовский район;  ; ул. Ртутная, 29; ; ; ;38.024877 48.350127;
Никитовский район;  ; ул. Болотникова, 21; ; ; ;37.974132 48.337653;
Никитовский район;  ; ул. Болотникова, 27; ; ; ;37.97132 48.338168;
Никитовский район;  ; ул. Никитовскоешоссе, 9; ; ; ;38.083987 48.397253;
Никитовский район;  ; ул. Советскойармии, 16; ; ; ;38.002536 48.30608;
Никитовский район;  ; ул. Больничная, 27; ; ; ;38.095305 48.400937;
Никитовский район;  ; ул. Школьная, 8; ; ; ;37.915705 48.401195;
Никитовский район;  ; ул. Жарова, 2 в; ; ; ;38.028552 48.353426;
Никитовский район;  ; ул. Советской армии, 2; ; ; ;38.002536 48.30608;
Никитовский район;  ; ул. Больничная, 14; ; ; ;38.099186 48.400453;
Никитовский район;  ; ул. Дивногорская, 4; ; ; ;37.970574 48.335149;
Никитовский район;  ; ул. Оленина, 8; ; ; ;37.972874 48.319191;
Никитовский район;  ; пр. Ленина, 227; ; ; ;37.972685 48.313744;
Никитовский район;  ; ул. Рубежная, 19; ; ; ;38.002536 48.30608;
Никитовский район;  ; ул. Горнопромышленная, 117; ; ; ;37.998737 48.368428;
Никитовский район;  ; ул. Черкасская, 1; ; ; ;37.994344 48.356946;
Никитовский район;  ; ул. Жукова, 24; ; ; ;37.967655 48.316351;
Никитовский район;  ; пр. Ленина, 231; ; ; ;37.971329 48.315026;
Никитовский район;  ; ул. Никитовское шоссе, 11; ; ; ;38.083987 48.397253;
Никитовский район;  ; ул. Шашурина, 1; ; ; ;37.97114 48.353671;
Никитовский район;  ; ул. Дубинина, 1; ; ; ;37.971203 48.33579;
Никитовский район;  ; ул. Жукова, 16; ; ; ;37.969056 48.317699;
